Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
Renoviran stan od 60 m2 u Rakovici,450,60,2.5,Beograd,Opština Rakovica,Rakovica (mesto),Mile Dimić,PR,2,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/renoviran-stan-od-60-m2-u-rakovici/5425645374743?kid=1
"Zeleni venac, 30 m2, polunamešten stan",400,30,0.5,Beograd,Opština Savski venac,Zeleni venac,Zeleni venac,I,3,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zeleni-venac-30-m2-polunamesten-stan/5425645641003?kid=1
"Novogradnja 50 m2, Živka Davidovića",600,50,2,Beograd,Opština Zvezdara,Bulevar kralja Aleksandra,Živka Davidovića,IV,6,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novogradnja-50-m2-zivka-davidovica/5425646905839?kid=1
"Arena, 84 m2, kompletno opremljen stan",850,84,3,Beograd,Opština Novi Beograd,Arena,Antifašističke borbe,III,6,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/arena-84-m2-kompletno-opremljen-stan/5425646905750?kid=1
"Salonac, Pariska 65 m2, pogled na Kalemegdan",1200,65,2,Beograd,Opština Stari grad,Kalemegdan,Pariska,II,4,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/salonac-pariska-65-m2-pogled-na-kalemegdan/5425646905845?kid=1
Jednoiposoban svetao stan na odličnoj lokaciji,500,35,1.5,Beograd,Opština Zvezdara,Lion,Dimitrija Tucovića,I,6,Owner,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/jednoiposoban-svetao-stan-na-odlicnoj-lokacij/5425646384561?kid=1
Prostran stan 70m2-Slavujev Venac ID#2339,900,70,1.5,Beograd,Opština Zvezdara,Slavujev venac,Slavujev Venac,III,3,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/prostran-stan-70m2-slavujev-venac-id2339/5425646059282?kid=1
Luksuzan stan stan na Senjaku sa velikom terasom I,4150,151,4,Beograd,Opština Savski venac,Senjak,Milovana Glišića,VPR,3,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luksuzan-stan-stan-na-senjaku-sa-velikom-tera/5425645159544?kid=1
"Odmah useljiv 2.5 stan, Čukarička padina",650,71,2.5,Beograd,Opština Čukarica,Čukarička padina,Brdovita,I,3,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/odmah-useljiv-2-5-stan-cukaricka-padina/5425646908155?kid=1
"Tašmajdan, novogradnja, komforan, ID 3505",950,80,3,Beograd,Opština Palilula,Tašmajdan,Ivankovačka,I,6,Agency,3/18/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/tasmajdan-novogradnja-komforan-id-3505/5425646908153?kid=1
